title,author,rating,average_goodreads_rating,original_publication_year,number_of_pages,path
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.0,4.14,1985,311,data/goodreads/clean/goodreads_library_export-thirsa.csv
Starship Troopers,Robert A. Heinlein,3.0,4.01,1959,264,data/goodreads/clean/goodreads_library_export-thirsa.csv
De mannen van Raan,Martine de Jong,2.0,3.48,2015,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
Barba ensopada de sangue,Daniel Galera,4.0,4.08,2012,424,data/goodreads/clean/goodreads_library_export-thirsa.csv
Ik was Amerika,Gustaaf Peek,4.0,3.37,2010,286,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Book of Strange New Things,Michel Faber,3.0,3.66,2014,500,data/goodreads/clean/goodreads_library_export-thirsa.csv
Winter's Tale,Mark Helprin,3.0,3.51,1983,769,data/goodreads/clean/goodreads_library_export-thirsa.csv
Do Androids Dream of Electric Sheep?,Philip K. Dick,4.0,4.09,1968,244,data/goodreads/clean/goodreads_library_export-thirsa.csv
Brodeck,Philippe Claudel,5.0,4.15,2007,336,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.0,3.96,1987,325,data/goodreads/clean/goodreads_library_export-thirsa.csv
IJsbrood,Owen Donkers,3.0,3.25,2013,108,data/goodreads/clean/goodreads_library_export-thirsa.csv
In Cold Blood,Truman Capote,4.0,4.09,1959,343,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,3.0,4.1,2010,390,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Final Solution,Michael Chabon,4.0,3.35,2004,131,data/goodreads/clean/goodreads_library_export-thirsa.csv
Gods Without Men,Hari Kunzru,2.0,3.65,2011,383,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,3.0,4.31,1985,324,data/goodreads/clean/goodreads_library_export-thirsa.csv
Barracuda,Christos Tsiolkas,3.0,3.69,2013,516,data/goodreads/clean/goodreads_library_export-thirsa.csv
World War Z: An Oral History of the Zombie War,Max Brooks,3.0,4.02,2006,342,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.0,4.23,2011,374,data/goodreads/clean/goodreads_library_export-thirsa.csv
What Is the What,Dave Eggers,3.0,4.14,2006,475,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Road,Cormac McCarthy,4.0,3.99,2006,241,data/goodreads/clean/goodreads_library_export-thirsa.csv
A Visit from the Goon Squad,Jennifer Egan,4.0,3.7,2010,274,data/goodreads/clean/goodreads_library_export-thirsa.csv
Three Lives of Tomomi Ishikawa,Benjamin Constable,4.0,3.62,2011,337,data/goodreads/clean/goodreads_library_export-thirsa.csv
"American Gods (American Gods, #1)",Neil Gaiman,3.0,4.11,2001,635,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Good Luck of Right Now,Matthew Quick,4.0,3.62,2014,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
Gifted,Nikita  Lalwani,3.0,3.25,2007,277,data/goodreads/clean/goodreads_library_export-thirsa.csv
Northanger Abbey,Jane Austen,4.0,3.85,1817,260,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Signature of All Things,Elizabeth Gilbert,3.0,3.87,2013,512,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Lowland,Jhumpa Lahiri,3.0,3.87,2013,340,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Little Prince,Antoine de Saint-Exupéry,3.0,4.33,1943,96,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Light of Day,Graham Swift,2.0,3.35,2003,323,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Girl With Glass Feet,Ali Shaw,3.0,3.41,2009,292,data/goodreads/clean/goodreads_library_export-thirsa.csv
Een mooie jonge vrouw,Tommy Wieringa,3.0,3.08,2014,96,data/goodreads/clean/goodreads_library_export-thirsa.csv
De Angstjager,Joris van Os,2.0,4.23,2013,288,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2.0,4.01,2013,292,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Circle (The Circle, #1)",Dave Eggers,2.0,3.43,2013,493,data/goodreads/clean/goodreads_library_export-thirsa.csv
Sutton,J.R. Moehringer,3.0,3.84,2012,334,data/goodreads/clean/goodreads_library_export-thirsa.csv
"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen        King,3.0,4.14,2012,322,data/goodreads/clean/goodreads_library_export-thirsa.csv
De kleurloze Tsukuru Tazaki en zijn pelgrimsjaren,Haruki Murakami,2.0,3.87,2013,364,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Universe Versus Alex Woods,Gavin Extence,4.0,4.1,2013,407,data/goodreads/clean/goodreads_library_export-thirsa.csv
This Book Will Save Your Life,A.M. Homes,4.0,3.68,2006,372,data/goodreads/clean/goodreads_library_export-thirsa.csv
Stoner,John  Williams,3.0,4.34,1965,292,data/goodreads/clean/goodreads_library_export-thirsa.csv
Zalig Uiteinde,Viktor Frölke,2.0,3.13,2013,256,data/goodreads/clean/goodreads_library_export-thirsa.csv
J. Kessels: the novel,P.F. Thomése,3.0,3.27,2009,220,data/goodreads/clean/goodreads_library_export-thirsa.csv
The New Republic,Lionel Shriver,3.0,3.07,2012,377,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Red ons, Maria Montanelli",Herman Koch,2.0,3.19,1989,142,data/goodreads/clean/goodreads_library_export-thirsa.csv
Mathilda Savitch,Victor Lodato,2.0,3.18,2009,304,data/goodreads/clean/goodreads_library_export-thirsa.csv
Indignation,Philip Roth,2.0,3.77,2008,235,data/goodreads/clean/goodreads_library_export-thirsa.csv
Grey Souls,Philippe Claudel,3.0,3.77,2003,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Damned (Damned, #1)",Chuck Palahniuk,1.0,3.4,2011,256,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Russian Debutante's Handbook,Gary Shteyngart,2.0,3.56,2002,476,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Bright Lights, Big City",Jay McInerney,2.0,3.8,1984,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Brief Wondrous Life of Oscar Wao,Junot Díaz,5.0,3.89,2007,335,data/goodreads/clean/goodreads_library_export-thirsa.csv
The White Tiger,Aravind Adiga,3.0,3.77,2008,276,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Secret History,Donna Tartt,3.0,4.17,1992,559,data/goodreads/clean/goodreads_library_export-thirsa.csv
Everything is Illuminated,Jonathan Safran Foer,5.0,3.89,2002,276,data/goodreads/clean/goodreads_library_export-thirsa.csv
Extremely Loud & Incredibly Close,Jonathan Safran Foer,4.0,3.97,2005,326,data/goodreads/clean/goodreads_library_export-thirsa.csv
Less Than Zero,Bret Easton Ellis,4.0,3.6,1985,208,data/goodreads/clean/goodreads_library_export-thirsa.csv
The Marriage Plot,Jeffrey Eugenides,3.0,3.47,2011,406,data/goodreads/clean/goodreads_library_export-thirsa.csv
"Opvoedfeiten: Op data gebaseerd, voor een relaxter ouderschap, van baby tot peuter",Emily Oster,4.0,4.14,2019,384,data/goodreads/clean/koen_goodreads_library_export.csv
Galapagos,Kurt Vonnegut Jr.,3.0,3.87,1985,302,data/goodreads/clean/koen_goodreads_library_export.csv
"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,4.0,3.96,2009,554,data/goodreads/clean/koen_goodreads_library_export.csv
His Master's Voice,Stanisław Lem,3.0,4.09,1968,199,data/goodreads/clean/koen_goodreads_library_export.csv
Concept M,Aafke Romeijn,3.0,3.46,2018,253,data/goodreads/clean/koen_goodreads_library_export.csv
In the Company of Men,Véronique Tadjo,3.0,3.84,2017,160,data/goodreads/clean/koen_goodreads_library_export.csv
The City & the City,China Miéville,4.0,3.9,2009,312,data/goodreads/clean/koen_goodreads_library_export.csv
De fabriek,Hiroko Oyamada,1.0,3.34,2010,176,data/goodreads/clean/koen_goodreads_library_export.csv
Klara and the Sun,Kazuo Ishiguro,2.0,3.75,2021,303,data/goodreads/clean/koen_goodreads_library_export.csv
The Yellow Wallpaper,Charlotte Perkins Gilman,3.0,4.08,1892,63,data/goodreads/clean/koen_goodreads_library_export.csv
Kroniek van een aangekondigde dood,Gabriel García Márquez,2.0,3.97,1981,114,data/goodreads/clean/koen_goodreads_library_export.csv
The Stars My Destination,Alfred Bester,3.0,4.06,1956,258,data/goodreads/clean/koen_goodreads_library_export.csv
Roadside Picnic,Arkady Strugatsky,4.0,4.14,1972,145,data/goodreads/clean/koen_goodreads_library_export.csv
Oorlog met de salamanders,Karel Čapek,4.0,4.17,1936,286,data/goodreads/clean/koen_goodreads_library_export.csv
De Mitsukoshi Troostbaby Company,Auke Hulst,4.0,4.07,2021,608,data/goodreads/clean/koen_goodreads_library_export.csv
Bewilderment,Richard Powers,4.0,3.92,2021,278,data/goodreads/clean/koen_goodreads_library_export.csv
Snow Crash,Neal Stephenson,2.0,4.02,1992,438,data/goodreads/clean/koen_goodreads_library_export.csv
A Visit from the Goon Squad,Jennifer Egan,4.0,3.7,2010,274,data/goodreads/clean/koen_goodreads_library_export.csv
Birk,Jaap Robben,3.0,3.42,2014,256,data/goodreads/clean/koen_goodreads_library_export.csv
Tender Is the Flesh,Agustina Bazterrica,5.0,3.79,2017,209,data/goodreads/clean/koen_goodreads_library_export.csv
Tussentijds,Peter Zantingh,3.0,3.82,2022,175,data/goodreads/clean/koen_goodreads_library_export.csv
"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,2.0,3.99,2013,386,data/goodreads/clean/koen_goodreads_library_export.csv
De jacht op het snoekje,Juhani Karila,3.0,4.35,2019,325,data/goodreads/clean/koen_goodreads_library_export.csv
Station Eleven,Emily St. John Mandel,4.0,4.07,2014,333,data/goodreads/clean/koen_goodreads_library_export.csv
"Ready Player Two (Ready Player One, #2)",Ernest Cline,2.0,3.43,2020,370,data/goodreads/clean/koen_goodreads_library_export.csv
One Flew Over the Cuckoo’s Nest,Ken Kesey,4.0,4.2,1962,325,data/goodreads/clean/koen_goodreads_library_export.csv
Notities uit de jungle,Hanya Yanagihara,3.0,3.73,2013,416,data/goodreads/clean/koen_goodreads_library_export.csv
"Consider Phlebas (Culture, #1)",Iain M. Banks,4.0,3.85,1987,467,data/goodreads/clean/koen_goodreads_library_export.csv
De zeven vinkjes: hoe mannen zoals ik de baas spelen,Joris Luyendijk,3.0,3.62,2022,200,data/goodreads/clean/koen_goodreads_library_export.csv
"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,2.0,3.74,2021,318,data/goodreads/clean/koen_goodreads_library_export.csv
Het kaartenhuis,Mark Z. Danielewski,3.0,4.09,2000,713,data/goodreads/clean/koen_goodreads_library_export.csv
American Psycho,Bret Easton Ellis,2.0,3.81,1991,399,data/goodreads/clean/koen_goodreads_library_export.csv
The Island of Dr. Moreau,H.G. Wells,4.0,3.73,1896,160,data/goodreads/clean/koen_goodreads_library_export.csv
De geheugenpolitie,Yōko Ogawa,4.0,3.72,1994,318,data/goodreads/clean/koen_goodreads_library_export.csv
Mother Night,Kurt Vonnegut Jr.,3.0,4.23,1961,282,data/goodreads/clean/koen_goodreads_library_export.csv
Ze hebben mijn vader vermoord,Édouard Louis,3.0,4.16,2018,73,data/goodreads/clean/koen_goodreads_library_export.csv
De geschiedenis van mijn seksualiteit,Sofie Lakmaker,2.0,3.77,2021,223,data/goodreads/clean/koen_goodreads_library_export.csv
Mathieu van der Poel: Het fenomeen verklaard,Mark de Bruijn,2.0,2.8,,173,data/goodreads/clean/koen_goodreads_library_export.csv
Het ijs,Anna Kavan,2.0,3.67,1967,208,data/goodreads/clean/koen_goodreads_library_export.csv
Het leven van Pi,Yann Martel,3.0,3.94,2001,319,data/goodreads/clean/koen_goodreads_library_export.csv
Het smelt,Lize Spit,5.0,3.67,2016,480,data/goodreads/clean/koen_goodreads_library_export.csv
Tortilla Flat,John Steinbeck,4.0,3.83,1935,256,data/goodreads/clean/koen_goodreads_library_export.csv
Erik of het klein Insectenboek,Godfried Bomans,2.0,3.61,1940,208,data/goodreads/clean/koen_goodreads_library_export.csv
The Drowned World,J.G. Ballard,2.0,3.48,1962,198,data/goodreads/clean/koen_goodreads_library_export.csv
"The Caves of Steel (Robot, #1)",Isaac Asimov,3.0,4.19,1953,206,data/goodreads/clean/koen_goodreads_library_export.csv
Who Fears Death,Nnedi Okorafor,1.0,3.94,2010,386,data/goodreads/clean/koen_goodreads_library_export.csv
Kindred,Octavia E. Butler,4.0,4.3,1979,288,data/goodreads/clean/koen_goodreads_library_export.csv
De avond is ongemak,Marieke Lucas Rijneveld,3.0,3.45,2018,260,data/goodreads/clean/koen_goodreads_library_export.csv
On Earth We're Briefly Gorgeous,Ocean Vuong,3.0,4.04,2019,246,data/goodreads/clean/koen_goodreads_library_export.csv
The Underground Railroad,Colson Whitehead,5.0,4.06,2016,320,data/goodreads/clean/koen_goodreads_library_export.csv
Klont,Maxim Februari,3.0,3.02,2017,270,data/goodreads/clean/koen_goodreads_library_export.csv
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,3.0,4.25,1974,387,data/goodreads/clean/koen_goodreads_library_export.csv
De jongens van Nickel,Colson Whitehead,4.0,4.26,2019,271,data/goodreads/clean/koen_goodreads_library_export.csv
"The Player of Games (Culture, #2)",Iain M. Banks,4.0,4.28,1988,293,data/goodreads/clean/koen_goodreads_library_export.csv
A Clockwork Orange,Anthony Burgess,3.0,4.0,1962,240,data/goodreads/clean/koen_goodreads_library_export.csv
"Koning van Katoren (Katoren, #1)",Jan Terlouw,4.0,4.13,1971,168,data/goodreads/clean/koen_goodreads_library_export.csv
De meeste mensen deugen. Een nieuwe geschiedenis van de mens,Rutger Bregman,2.0,4.32,2019,523,data/goodreads/clean/koen_goodreads_library_export.csv
Solaris,Stanisław Lem,2.0,3.99,1961,214,data/goodreads/clean/koen_goodreads_library_export.csv
De boekendief,Markus Zusak,3.0,4.39,2005,558,data/goodreads/clean/koen_goodreads_library_export.csv
De pest,Albert Camus,4.0,4.02,1947,277,data/goodreads/clean/koen_goodreads_library_export.csv
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.0,4.01,2003,389,data/goodreads/clean/koen_goodreads_library_export.csv
"Metropolis (Bernie Gunther, #14)",Philip Kerr,2.0,4.17,2019,392,data/goodreads/clean/koen_goodreads_library_export.csv
De goede zoon,Rob van Essen,3.0,3.35,2018,384,data/goodreads/clean/koen_goodreads_library_export.csv
Moneyland: Why Thieves and Crooks Now Rule the World and How To Take It Back,Oliver Bullough,3.0,4.2,2018,305,data/goodreads/clean/koen_goodreads_library_export.csv
Ivanov,Hanna Bervoets,3.0,3.62,2016,320,data/goodreads/clean/koen_goodreads_library_export.csv
Hoe gaan we dit uitleggen,Jelmer Mommers,4.0,4.23,2019,237,data/goodreads/clean/koen_goodreads_library_export.csv
"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,3.0,4.32,2018,415,data/goodreads/clean/koen_goodreads_library_export.csv
Postkantoor,Charles Bukowski,1.0,3.93,1971,207,data/goodreads/clean/koen_goodreads_library_export.csv
De monnik van Mokka,Dave Eggers,2.0,4.08,2018,336,data/goodreads/clean/koen_goodreads_library_export.csv
The Book of Illusions,Paul Auster,3.0,3.9,2002,288,data/goodreads/clean/koen_goodreads_library_export.csv
Het parfum,Patrick Süskind,3.0,4.04,1985,255,data/goodreads/clean/koen_goodreads_library_export.csv
Nooit meer slapen,Willem Frederik Hermans,2.0,3.86,1966,251,data/goodreads/clean/koen_goodreads_library_export.csv
Watchmen,Alan Moore,4.0,4.38,1987,414,data/goodreads/clean/koen_goodreads_library_export.csv
Fight Club,Chuck Palahniuk,5.0,4.18,1996,224,data/goodreads/clean/koen_goodreads_library_export.csv
V for Vendetta,Alan Moore,5.0,4.26,1990,296,data/goodreads/clean/koen_goodreads_library_export.csv
De renner,Tim Krabbé,1.0,4.23,1978,157,data/goodreads/clean/koen_goodreads_library_export.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,4.0,3.77,2014,195,data/goodreads/clean/koen_goodreads_library_export.csv
The Gambler,Fyodor Dostoevsky,3.0,3.91,1866,188,data/goodreads/clean/koen_goodreads_library_export.csv
Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,3.0,4.34,1978,367,data/goodreads/clean/koen_goodreads_library_export.csv
De gedaanteverwisseling,Franz Kafka,3.0,3.88,1915,61,data/goodreads/clean/koen_goodreads_library_export.csv
The Power,Naomi Alderman,4.0,3.76,2016,341,data/goodreads/clean/koen_goodreads_library_export.csv
De kleine prins,Antoine de Saint-Exupéry,4.0,4.33,1943,95,data/goodreads/clean/koen_goodreads_library_export.csv
The Left Hand of Darkness,Ursula K. Le Guin,2.0,4.1,1969,304,data/goodreads/clean/koen_goodreads_library_export.csv
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,3.0,4.26,2017,416,data/goodreads/clean/koen_goodreads_library_export.csv
Slaughterhouse-Five,Kurt Vonnegut Jr.,3.0,4.1,1969,275,data/goodreads/clean/koen_goodreads_library_export.csv
De val van Oranje,Pieter Zwart,3.0,4.14,,243,data/goodreads/clean/koen_goodreads_library_export.csv
Cat's Cradle,Kurt Vonnegut Jr.,4.0,4.15,1963,206,data/goodreads/clean/koen_goodreads_library_export.csv
"Imago (Xenogenesis, #3)",Octavia E. Butler,4.0,4.2,1989,220,data/goodreads/clean/koen_goodreads_library_export.csv
"Adulthood Rites (Xenogenesis, #2)",Octavia E. Butler,5.0,4.19,1988,277,data/goodreads/clean/koen_goodreads_library_export.csv
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,4.0,4.17,1968,297,data/goodreads/clean/koen_goodreads_library_export.csv
Het Slot,Franz Kafka,2.0,3.93,1926,336,data/goodreads/clean/koen_goodreads_library_export.csv
Hex,Thomas Olde Heuvelt,3.0,3.73,2013,384,data/goodreads/clean/koen_goodreads_library_export.csv
"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,4.0,4.21,1993,345,data/goodreads/clean/koen_goodreads_library_export.csv
A Man Lies Dreaming,Lavie Tidhar,3.0,3.84,2014,288,data/goodreads/clean/koen_goodreads_library_export.csv
The Unbearable Lightness of Being,Milan Kundera,2.0,4.11,1984,314,data/goodreads/clean/koen_goodreads_library_export.csv
"De brief voor de koning (De brief voor de koning, #1)",Tonke Dragt,4.0,4.17,1962,455,data/goodreads/clean/koen_goodreads_library_export.csv
"I, Robot (Robot, #0.1)",Isaac Asimov,5.0,4.21,1950,224,data/goodreads/clean/koen_goodreads_library_export.csv
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.0,3.73,1958,215,data/goodreads/clean/koen_goodreads_library_export.csv
Fuzzie,Hanna Bervoets,3.0,3.31,2017,287,data/goodreads/clean/koen_goodreads_library_export.csv
De engelenmaker,Stefan Brijs,2.0,3.9,2005,429,data/goodreads/clean/koen_goodreads_library_export.csv
High-Rise,J.G. Ballard,4.0,3.61,1975,208,data/goodreads/clean/koen_goodreads_library_export.csv
Post voor mevrouw Bromley,Stefan Brijs,4.0,3.95,2011,512,data/goodreads/clean/koen_goodreads_library_export.csv
De Aanslag,Harry Mulisch,3.0,3.73,1982,256,data/goodreads/clean/koen_goodreads_library_export.csv
The World According To Garp,John Irving,3.0,4.1,1978,603,data/goodreads/clean/koen_goodreads_library_export.csv
Je hebt wél iets te verbergen,Maurits Martijn,3.0,3.96,2016,223,data/goodreads/clean/koen_goodreads_library_export.csv
The Complete Maus,Art Spiegelman,4.0,4.58,1980,296,data/goodreads/clean/koen_goodreads_library_export.csv
Fear and Loathing in Las Vegas,Hunter S. Thompson,3.0,4.07,1971,230,data/goodreads/clean/koen_goodreads_library_export.csv
De helaasheid der dingen,Dimitri Verhulst,4.0,3.8,2006,207,data/goodreads/clean/koen_goodreads_library_export.csv
Heer der vliegen,William Golding,2.0,3.7,1954,223,data/goodreads/clean/koen_goodreads_library_export.csv
Minoes,Annie M.G. Schmidt,3.0,4.04,1970,199,data/goodreads/clean/koen_goodreads_library_export.csv
Kafka on the Shore,Haruki Murakami,3.0,4.13,2002,467,data/goodreads/clean/koen_goodreads_library_export.csv
Makkelijk leven,Herman Koch,2.0,2.74,2017,96,data/goodreads/clean/koen_goodreads_library_export.csv
Never Let Me Go,Kazuo Ishiguro,2.0,3.85,2005,288,data/goodreads/clean/koen_goodreads_library_export.csv
The Handmaid's Tale,Margaret Atwood,3.0,4.14,1985,324,data/goodreads/clean/koen_goodreads_library_export.csv
"The Invisibles, Volume 1: Say You Want a Revolution",Grant Morrison,2.0,3.95,1994,224,data/goodreads/clean/koen_goodreads_library_export.csv
Bonita Avenue,Peter Buwalda,4.0,3.74,2010,543,data/goodreads/clean/koen_goodreads_library_export.csv
The Windup Girl,Paolo Bacigalupi,2.0,3.75,2009,359,data/goodreads/clean/koen_goodreads_library_export.csv
Fight Club,Chuck Palahniuk,3.0,4.18,1996,221,data/goodreads/clean/koen_goodreads_library_export.csv
Dit kan niet waar zijn. Onder bankiers,Joris Luyendijk,3.0,3.84,2015,208,data/goodreads/clean/koen_goodreads_library_export.csv
Beatrice en Vergilius,Yann Martel,4.0,3.18,2010,176,data/goodreads/clean/koen_goodreads_library_export.csv
The Heart of a Dog,bulgakov-mikhail,3.0,4.1,1925,128,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,3.0,3.48,2016,343,data/goodreads/clean/koen_goodreads_library_export.csv
Brave New World,Aldous Huxley,4.0,3.99,1932,254,data/goodreads/clean/koen_goodreads_library_export.csv
De wildernis in,Jon Krakauer,5.0,4.01,1996,284,data/goodreads/clean/koen_goodreads_library_export.csv
Under the Skin,Michel Faber,2.0,3.75,2000,296,data/goodreads/clean/koen_goodreads_library_export.csv
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.0,4.29,1937,366,data/goodreads/clean/koen_goodreads_library_export.csv
Het diner,Herman Koch,3.0,3.21,2009,300,data/goodreads/clean/koen_goodreads_library_export.csv
De eenzaamheid van de priemgetallen,Paolo Giordano,3.0,3.64,2008,318,data/goodreads/clean/koen_goodreads_library_export.csv
"Dawn (Xenogenesis, #1)",Octavia E. Butler,4.0,4.16,1987,248,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.0,4.62,2007,759,data/goodreads/clean/koen_goodreads_library_export.csv
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,3.0,4.08,2006,472,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,5.0,4.58,2005,652,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.0,4.5,2003,912,data/goodreads/clean/koen_goodreads_library_export.csv
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.0,4.34,2008,374,data/goodreads/clean/koen_goodreads_library_export.csv
Fahrenheit 451,Ray Bradbury,3.0,3.96,1953,158,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,5.0,4.57,2000,734,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,5.0,4.58,1999,435,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.0,4.43,1998,352,data/goodreads/clean/koen_goodreads_library_export.csv
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,5.0,4.47,1997,309,data/goodreads/clean/koen_goodreads_library_export.csv
Animal Farm,George Orwell,4.0,3.99,1945,129,data/goodreads/clean/koen_goodreads_library_export.csv
IJstijd,Maartje Wortel,3.0,3.32,2014,238,data/goodreads/clean/koen_goodreads_library_export.csv
The Passion of New Eve,Angela Carter,1.0,3.67,1977,187,data/goodreads/clean/koen_goodreads_library_export.csv
De donkere kamer van Damokles,Willem Frederik Hermans,3.0,3.8,1958,335,data/goodreads/clean/koen_goodreads_library_export.csv
Ik lieg de waarheid: de beste Kronkels,Simon Carmiggelt,3.0,4.07,,318,data/goodreads/clean/koen_goodreads_library_export.csv
"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,3.0,4.23,1979,216,data/goodreads/clean/koen_goodreads_library_export.csv
The Circle,Dave Eggers,3.0,3.43,2013,491,data/goodreads/clean/koen_goodreads_library_export.csv
1984,George Orwell,5.0,4.19,1949,328,data/goodreads/clean/koen_goodreads_library_export.csv
De Prooi: Blinde trots breekt ABN Amro,Jeroen Smit,2.0,3.76,2008,448,data/goodreads/clean/koen_goodreads_library_export.csv
Starship Troopers,Robert A. Heinlein,3.0,4.01,1959,264,data/goodreads/clean/koen_goodreads_library_export.csv
Extreem luid en ongelooflijk dichtbij,Jonathan Safran Foer,3.0,3.97,2005,375,data/goodreads/clean/koen_goodreads_library_export.csv
Do Androids Dream of Electric Sheep?,Philip K. Dick,3.0,4.09,1968,265,data/goodreads/clean/koen_goodreads_library_export.csv
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.0,4.23,2011,374,data/goodreads/clean/koen_goodreads_library_export.csv
Gijp,Michel van Egmond,2.0,3.38,2012,325,data/goodreads/clean/koen_goodreads_library_export.csv
Norwegian Wood,Haruki Murakami,5.0,4.01,1987,296,data/goodreads/clean/koen_goodreads_library_export.csv
Sophie’s World,Jostein Gaarder,5.0,3.96,1991,403,data/goodreads/clean/koen_goodreads_library_export.csv
De kleurloze Tsukuru Tazaki en zijn pelgrimsjaren,Haruki Murakami,3.0,3.87,2013,364,data/goodreads/clean/koen_goodreads_library_export.csv
Everything is Illuminated,Jonathan Safran Foer,3.0,3.89,2002,276,data/goodreads/clean/koen_goodreads_library_export.csv
Galapagos,Kurt Vonnegut Jr.,4.0,3.87,1985,302,data/goodreads/clean/koen_m_goodreads_library_export.csv
His Master's Voice,Stanisław Lem,3.0,4.09,1968,199,data/goodreads/clean/koen_m_goodreads_library_export.csv
Concept M,Aafke Romeijn,2.0,3.46,2018,253,data/goodreads/clean/koen_m_goodreads_library_export.csv
The City & the City,China Miéville,2.0,3.9,2009,312,data/goodreads/clean/koen_m_goodreads_library_export.csv
I Who Have Never Known Men,Jacqueline Harpman,5.0,4.14,1995,184,data/goodreads/clean/thomas_goodreads_library_export.csv
De kleine kapitein,Paul Biegel,4.0,4.04,1970,127,data/goodreads/clean/thomas_goodreads_library_export.csv
Groeten uit Benidorm,Hendrik Groen,2.0,3.15,2023,212,data/goodreads/clean/thomas_goodreads_library_export.csv
Lord of Light,Roger Zelazny,2.0,4.05,1967,296,data/goodreads/clean/thomas_goodreads_library_export.csv
A Clockwork Orange,Anthony Burgess,5.0,4.0,1962,240,data/goodreads/clean/thomas_goodreads_library_export.csv
Dark Matter,Blake Crouch,2.0,4.14,2016,342,data/goodreads/clean/thomas_goodreads_library_export.csv
"Beartown (Beartown, #1)",Fredrik Backman,3.0,4.29,2016,432,data/goodreads/clean/thomas_goodreads_library_export.csv
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,4.0,3.79,2014,195,data/goodreads/clean/thomas_goodreads_library_export.csv
"Us Against You (Beartown, #2)",Fredrik Backman,4.0,4.37,2017,448,data/goodreads/clean/thomas_goodreads_library_export.csv
